name,text,type,manaCost,convertedManaCost
Abeyance,"Until end of turn, target player can't cast instant or sorcery spells, and that player can't activate abilities that aren't mana abilities.
Draw a card.",Instant,{1}{W},2
Abhorrent Overlord,"Flying
When Abhorrent Overlord enters the battlefield, create a number of 1/1 black Harpy creature tokens with flying equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)
At the beginning of your upkeep, sacrifice a creature.",Creature — Demon,{5}{B}{B},7
"Abian, Luvion Usurper","As Abian, Luvion Usurper enters the battlefield, you become Abian. (Your life total becomes equal to their loyalty. You can activate the loyalty abilities by spending or gaining life.)
[+3]: Discard your hand, then draw cards equal to the greatest power among creatures you control.
[+1]: Create a 3/2 red and green Spirit creature token.
−X: You deal X damage to any target.",Legendary Planeswalker — Abian,{5}{R}{G},7
Abjure,"As an additional cost to cast this spell, sacrifice a blue permanent.
Counter target spell.",Instant,{U},1
Abnormal Endurance,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""",Instant,{1}{B},2
Abolish,"You may discard a Plains card rather than pay this spell's mana cost.
Destroy target artifact or enchantment.",Instant,{1}{W}{W},3
Abolisher of Bloodlines,"Flying
When this creature transforms into Abolisher of Bloodlines, target opponent sacrifices three creatures.",Creature — Eldrazi Vampire,,5
Abominable Treefolk,"Trample
Abominable Treefolk's power and toughness are each equal to the number of snow permanents you control.
When Abominable Treefolk enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",Snow Creature — Treefolk,{2}{G}{U},4
Abomination,"Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.",Creature — Horror,{3}{B}{B},5
Abomination of Gudul,"Flying
Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.
Morph {2}{B}{G}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",Creature — Horror,{3}{B}{G}{U},6
Aboroth,"Cumulative upkeep—Put a -1/-1 counter on Aboroth. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)",Creature — Elemental,{4}{G}{G},6
Aboshan's Desire,"Enchant creature
Enchanted creature has flying.
Threshold — Enchanted creature has shroud as long as seven or more cards are in your graveyard. (It can't be the target of spells or abilities.)",Enchantment — Aura,{U},1
"Aboshan, Cephalid Emperor","Tap an untapped Cephalid you control: Tap target permanent.
{U}{U}{U}: Tap all creatures without flying.",Legendary Creature — Cephalid Noble,{4}{U}{U},6
About Face,Switch target creature's power and toughness until end of turn.,Instant,{R},1
Abrade,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",Instant,{1}{R},2
Abrupt Decay,"This spell can't be countered.
Destroy target nonland permanent with converted mana cost 3 or less.",Instant,{B}{G},2
Absolute Grace,All creatures have protection from black.,Enchantment,{1}{W},2
Absolute Law,All creatures have protection from red.,Enchantment,{1}{W},2
Absolver Thrull,"Haunt (When this creature dies, exile it haunting target creature.)
When Absolver Thrull enters the battlefield or the creature it haunts dies, destroy target enchantment.",Creature — Thrull Cleric,{3}{W},4
Absorb,Counter target spell. You gain 3 life.,Instant,{W}{U}{U},3
Absorb Vis,"Target player loses 4 life and you gain 4 life.
Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.)",Sorcery,{6}{B},7
Abstruse Interference,"Devoid (This card has no color.)
Counter target spell unless its controller pays {1}. You create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)",Instant,{2}{U},3
Abu Ja'far,"When Abu Ja'far dies, destroy all creatures blocking or blocked by it. They can't be regenerated.",Creature — Human,{W},1
Abuna Acolyte,"{T}: Prevent the next 1 damage that would be dealt to any target this turn.
{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.",Creature — Cat Cleric,{1}{W},2
Abuna's Chant,"Choose one —
• You gain 5 life.
• Prevent the next 5 damage that would be dealt to target creature this turn.
Entwine {2} (Choose both if you pay the entwine cost.)",Instant,{3}{W},4
Abundance,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",Enchantment,{2}{G}{G},4
Abundant Growth,"Enchant land
When Abundant Growth enters the battlefield, draw a card.
Enchanted land has ""{T}: Add one mana of any color.""",Enchantment — Aura,{G},1
Abundant Maw,"Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's converted mana cost.)
When you cast this spell, target opponent loses 3 life and you gain 3 life.",Creature — Eldrazi Leech,{8},8
Abyssal Gatekeeper,"When Abyssal Gatekeeper dies, each player sacrifices a creature.",Creature — Horror,{1}{B},2
Abyssal Horror,"Flying
When Abyssal Horror enters the battlefield, target player discards two cards.",Creature — Horror,{4}{B}{B},6
Abyssal Hunter,"{B}, {T}: Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.",Creature — Human Assassin,{3}{B},4
Abyssal Nightstalker,"Whenever Abyssal Nightstalker attacks and isn't blocked, defending player discards a card.",Creature — Nightstalker,{3}{B},4
Abyssal Nocturnus,"Whenever an opponent discards a card, Abyssal Nocturnus gets +2/+2 and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)",Creature — Horror,{1}{B}{B},3
Abyssal Persecutor,"Flying, trample
You can't win the game and your opponents can't lose the game.",Creature — Demon,{2}{B}{B},4
Abyssal Specter,"Flying
Whenever Abyssal Specter deals damage to a player, that player discards a card.",Creature — Specter,{2}{B}{B},4
Abzan Advantage,Target player sacrifices an enchantment. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.),Instant,{1}{W},2
Abzan Ascendancy,"When Abzan Ascendancy enters the battlefield, put a +1/+1 counter on each creature you control.
Whenever a nontoken creature you control dies, create a 1/1 white Spirit creature token with flying.",Enchantment,{W}{B}{G},3
Abzan Banner,"{T}: Add {W}, {B}, or {G}.
{W}{B}{G}, {T}, Sacrifice Abzan Banner: Draw a card.",Artifact,{3},3
Abzan Battle Priest,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has lifelink.",Creature — Human Cleric,{3}{W},4
Abzan Beastmaster,"At the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness.",Creature — Hound Shaman,{2}{G},3
Abzan Charm,"Choose one —
• Exile target creature with power 3 or greater.
• You draw two cards and you lose 2 life.
• Distribute two +1/+1 counters among one or two target creatures.",Instant,{W}{B}{G},3
Abzan Falconer,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has flying.",Creature — Human Soldier,{2}{W},3
Abzan Guide,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Morph {2}{W}{B}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",Creature — Human Warrior,{3}{W}{B}{G},6
Abzan Kin-Guard,Abzan Kin-Guard has lifelink as long as you control a white or black permanent.,Creature — Human Warrior,{3}{G},4
Abzan Runemark,"Enchant creature
Enchanted creature gets +2/+2.
Enchanted creature has vigilance as long as you control a black or green permanent.",Enchantment — Aura,{2}{W},3
Abzan Skycaptain,"Flying
When Abzan Skycaptain dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)",Creature — Bird Soldier,{3}{W},4
Academy Drake,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Flying
If Academy Drake was kicked, it enters the battlefield with two +1/+1 counters on it.",Creature — Drake,{2}{U},3
Academy Elite,"Academy Elite enters the battlefield with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards.
{2}{U}, Remove a +1/+1 counter from Academy Elite: Draw a card, then discard a card.",Creature — Human Wizard,{3}{U},4
Academy Journeymage,"This spell costs {1} less to cast if you control a Wizard.
When Academy Journeymage enters the battlefield, return target creature an opponent controls to its owner's hand.",Creature — Human Wizard,{4}{U},5
Academy Raider,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Whenever Academy Raider deals combat damage to a player, you may discard a card. If you do, draw a card.",Creature — Human Warrior,{2}{R},3
Academy Rector,"When Academy Rector dies, you may exile it. If you do, search your library for an enchantment card, put that card onto the battlefield, then shuffle your library.",Creature — Human Cleric,{3}{W},4
Academy Researchers,"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.",Creature — Human Wizard,{1}{U}{U},3
Academy Ruins,"{T}: Add {C}.
{1}{U}, {T}: Put target artifact card from your graveyard on top of your library.",Legendary Land,,0
Academy at Tolaria West,"At the beginning of your end step, if you have no cards in hand, draw seven cards.
Whenever you roll {CHAOS}, discard your hand.",Plane — Dominaria,,0
Accelerate,"Target creature gains haste until end of turn.
Draw a card.",Instant,{1}{R},2
Accelerated Mutation,"Target creature gets +X/+X until end of turn, where X is the highest converted mana cost among permanents you control.",Instant,{3}{G}{G},5
Acceptable Losses,"As an additional cost to cast this spell, discard a card at random.
Acceptable Losses deals 5 damage to target creature.",Sorcery,{3}{R},4
Accessories to Murder,"Whenever you crank Accessories to Murder, target creature gets +X/+0 until end of turn, where X is the number of creatures you control.",Artifact — Contraption,,0
Acclaimed Contender,"When Acclaimed Contender enters the battlefield, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Creature — Human Knight,{2}{W},3
Accomplished Automaton,"Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)",Artifact Creature — Construct,{7},7
Accorder Paladin,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)",Creature — Human Knight,{1}{W},2
Accorder's Shield,"Equipped creature gets +0/+3 and has vigilance. (Attacking doesn't cause it to tap.)
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",Artifact — Equipment,{0},0
Accumulated Knowledge,"Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.",Instant,{1}{U},2
Accursed Centaur,"When Accursed Centaur enters the battlefield, sacrifice a creature.",Creature — Zombie Centaur,{B},1
Accursed Horde,"{1}{B}: Target attacking Zombie gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)",Creature — Zombie,{3}{B},4
Accursed Spirit,Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.),Creature — Spirit,{3}{B},4
Accursed Witch,"Spells your opponents cast that target Accursed Witch cost {1} less to cast.
When Accursed Witch dies, return it to the battlefield transformed under your control attached to target opponent.",Creature — Human Shaman,{3}{B},4
Acid Rain,Destroy all Forests.,Sorcery,{3}{U},4
Acid Web Spider,"Reach
When Acid Web Spider enters the battlefield, you may destroy target Equipment.",Creature — Spider,{3}{G}{G},5
Acid-Spewer Dragon,"Flying, deathtouch
Megamorph {5}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Acid-Spewer Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.",Creature — Dragon,{5}{B},6
Acidic Dagger,"{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate this ability only before blockers are declared.",Artifact,{4},4
Acidic Slime,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",Creature — Ooze,{3}{G}{G},5
Acidic Sliver,"All Slivers have ""{2}, Sacrifice this permanent: This permanent deals 2 damage to any target.""",Creature — Sliver,{B}{R},2
Acidic Soil,Acidic Soil deals damage to each player equal to the number of lands they control.,Sorcery,{2}{R},3
Acolyte of Xathrid,"{1}{B}, {T}: Target player loses 1 life.",Creature — Human Cleric,{B},1
Acolyte of the Inferno,"Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)
Whenever Acolyte of the Inferno becomes blocked by a creature, it deals 2 damage to that creature.",Creature — Human Monk,{2}{R},3
Acolyte's Reward,"Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to any target. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)",Instant,{1}{W},2
Acorn Catapult,"{1}, {T}: Acorn Catapult deals 1 damage to any target. That permanent's controller or that player creates a 1/1 green Squirrel creature token.",Artifact,{4},4
Acorn Harvest,"Create two 1/1 green Squirrel creature tokens.
Flashback—{1}{G}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Sorcery,{3}{G},4
Acquire,Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles their library.,Sorcery,{3}{U}{U},5
Acridian,"Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)",Creature — Insect,{1}{G},2
Acrobatic Maneuver,"Exile target creature you control, then return that card to the battlefield under its owner's control.
Draw a card.",Instant,{2}{W},3
Act of Aggression,"({R/P} can be paid with either {R} or 2 life.)
Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.",Instant,{3}{R/P}{R/P},5
Act of Authority,"When Act of Authority enters the battlefield, you may exile target artifact or enchantment.
At the beginning of your upkeep, you may exile target artifact or enchantment. If you do, its controller gains control of Act of Authority.",Enchantment,{1}{W}{W},3
Act of Heroism,Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.,Instant,{1}{W},2
Act of Treason,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.),Sorcery,{2}{R},3
Act on Impulse,"Exile the top three cards of your library. Until end of turn, you may play cards exiled this way. (If you cast a spell this way, you still pay its costs. You can play a land this way only if you have an available land play remaining.)",Sorcery,{2}{R},3
Active Volcano,"Choose one —
• Destroy target blue permanent.
• Return target Island to its owner's hand.",Instant,{R},1
Ad Nauseam,Reveal the top card of your library and put that card into your hand. You lose life equal to its converted mana cost. You may repeat this process any number of times.,Instant,{3}{B}{B},5
Adamant Will,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",Instant,{1}{W},2
"Adamaro, First to Desire","Adamaro, First to Desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.",Legendary Creature — Spirit,{1}{R}{R},3
Adanto Vanguard,"As long as Adanto Vanguard is attacking, it gets +2/+0.
Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",Creature — Vampire Soldier,{1}{W},2
"Adanto, the First Fort","(Transforms from Legion's Landing.)
{T}: Add {W}.
{2}{W}, {T}: Create a 1/1 white Vampire creature token with lifelink.",Legendary Land,,1
Adaptive Automaton,"As Adaptive Automaton enters the battlefield, choose a creature type.
Adaptive Automaton is the chosen type in addition to its other types.
Other creatures you control of the chosen type get +1/+1.",Artifact Creature — Construct,{3},3
Adaptive Snapjaw,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)",Creature — Lizard Beast,{4}{G},5
Adarkar Sentinel,{1}: Adarkar Sentinel gets +0/+1 until end of turn.,Artifact Creature — Soldier,{5},5
Adarkar Unicorn,{T}: Add {U} or {C}{U}. Spend this mana only to pay cumulative upkeep costs.,Creature — Unicorn,{1}{W}{W},3
Adarkar Valkyrie,"Flying, vigilance
{T}: When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control.",Snow Creature — Angel,{4}{W}{W},6
Adarkar Wastes,"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.",Land,,0
Adarkar Windform,"Flying
{1}{S}: Target creature loses flying until end of turn. ({S} can be paid with one mana from a snow permanent.)",Snow Creature — Illusion,{4}{U},5
Adder-Staff Boggart,"When Adder-Staff Boggart enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Adder-Staff Boggart. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher converted mana cost.)",Creature — Goblin Warrior,{1}{R},2
Addle,Choose a color. Target player reveals their hand and you choose a card of that color from it. That player discards that card.,Sorcery,{1}{B},2
"Adeliz, the Cinder Wind","Flying, haste
Whenever you cast an instant or sorcery spell, Wizards you control get +1/+1 until end of turn.",Legendary Creature — Human Wizard,{1}{U}{R},3
Admiral Beckett Brass,"Other Pirates you control get +1/+1.
At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn.",Legendary Creature — Human Pirate,{1}{U}{B}{R},4
Admiral's Order,"Raid — If you attacked with a creature this turn, you may pay {U} rather than pay this spell's mana cost.
Counter target spell.",Instant,{1}{U}{U},3
Admonition Angel,"Flying
Landfall — Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.
When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.",Creature — Angel,{3}{W}{W}{W},6
Adorable Kitten,"When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.",Host Creature — Cat,{W},1
Adorned Pouncer,"Double strike
Eternalize {3}{W}{W} ({3}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Cat with no mana cost. Eternalize only as a sorcery.)",Creature — Cat,{1}{W},2
Adriana's Valor,"Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.)
Whenever a creature you control with the chosen name attacks, you may pay {W}. If you do, that creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",Conspiracy,,0
"Adriana, Captain of the Guard","Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked with a creature this combat.)
Other creatures you control have melee. (If a creature has multiple instances of melee, each triggers separately.)",Legendary Creature — Human Knight,{3}{R}{W},5
Adun Oakenshield,"{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.",Legendary Creature — Human Knight,{B}{R}{G},3
Advance Scout,"First strike
{W}: Target creature gains first strike until end of turn.",Creature — Human Soldier Scout,{1}{W},2
Advanced Hoverguard,"Flying
{U}: Advanced Hoverguard gains shroud until end of turn. (It can't be the target of spells or abilities.)",Creature — Drone,{3}{U},4
Advanced Stitchwing,"Flying
{2}{U}, Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped.",Creature — Zombie Horror,{3}{U}{U},5
Advantageous Proclamation,"(Start the game with this conspiracy face up in the command zone.)
Your minimum deck size is reduced by five.",Conspiracy,,0
Advent of the Wurm,Create a 5/5 green Wurm creature token with trample.,Instant,{1}{G}{G}{W},4
Adventurers' Guildhouse,"Green legendary creatures you control have ""bands with other legendary creatures."" (Any legendary creatures can attack in a band as long as at least one has ""bands with other legendary creatures."" Bands are blocked as a group. If at least two legendary creatures you control, one of which has ""bands with other legendary creatures,"" are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",Land,,0
Adventuring Gear,"Landfall — Whenever a land enters the battlefield under your control, equipped creature gets +2/+2 until end of turn.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",Artifact — Equipment,{1},1
Adventurous Impulse,Look at the top three cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.,Sorcery,{G},1
Adverse Conditions,"Devoid (This card has no color.)
Tap up to two target creatures. Those creatures don't untap during their controller's next untap step. Create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}.""",Instant,{3}{U},4
Advice from the Fae,"({2/U} can be paid with any two mana or with {U}. This card's converted mana cost is 6.)
Look at the top five cards of your library. If you control more creatures than each other player, put two of those cards into your hand. Otherwise, put one of them into your hand. Then put the rest on the bottom of your library in any order.",Sorcery,{2/U}{2/U}{2/U},6
Advocate of the Beast,"At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.",Creature — Elf Shaman,{2}{G},3
Aegis Angel,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. (Effects that say ""destroy"" don't destroy it. A creature with indestructible can't be destroyed by damage.)",Creature — Angel,{4}{W}{W},6
Aegis Automaton,{4}{W}: Return another target creature you control to its owner's hand.,Artifact Creature — Construct,{2},2
Aegis of Honor,"{1}: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.",Enchantment,{W},1
Aegis of the Gods,You have hexproof. (You can't be the target of spells or abilities your opponents control.),Enchantment Creature — Human Soldier,{1}{W},2
Aegis of the Heavens,Target creature gets +1/+7 until end of turn.,Instant,{1}{W},2
Aegis of the Meek,"{1}, {T}: Target 1/1 creature gets +1/+2 until end of turn.",Artifact,{3},3
Aeolipile,"{1}, {T}, Sacrifice Aeolipile: It deals 2 damage to any target.",Artifact,{2},2
Aeon Chronicler,"Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.
Suspend X—{X}{3}{U}. X can't be 0. (Rather than cast this card from your hand, you may pay {X}{3}{U} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)
Whenever a time counter is removed from Aeon Chronicler while it's exiled, draw a card.",Creature — Avatar,{3}{U}{U},5
Aeon Engine,"Aeon Engine enters the battlefield tapped.
{T}, Exile Aeon Engine: Reverse the game's turn order. (For example, if play had proceeded clockwise around the table, it now goes counterclockwise.)",Artifact,{5},5
Aerathi Berserker,"Rampage 3 (Whenever this creature becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)",Creature — Human Berserker,{2}{R}{R}{R},5
Aerial Assault,Destroy target tapped creature. You gain 1 life for each creature you control with flying.,Sorcery,{2}{W},3
Aerial Caravan,"Flying
{1}{U}{U}: Exile the top card of your library. Until end of turn, you may play that card. (Reveal the card as you exile it.)",Creature — Human Soldier,{4}{U}{U},6
Aerial Engineer,"As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.",Creature — Human Artificer,{2}{W}{U},4
Aerial Formation,"Strive — This spell costs {2}{U} more to cast for each target beyond the first.
Any number of target creatures each get +1/+1 and gain flying until end of turn.",Instant,{U},1
Aerial Guide,"Flying
Whenever Aerial Guide attacks, another target attacking creature gains flying until end of turn.",Creature — Drake,{2}{U},3
Aerial Maneuver,Target creature gets +1/+1 and gains flying and first strike until end of turn.,Instant,{1}{W},2
Aerial Modification,"Enchant creature or Vehicle
As long as enchanted permanent is a Vehicle, it's a creature in addition to its other types.
Enchanted creature gets +2/+2 and has flying.",Enchantment — Aura,{4}{W},5
Aerial Predation,Destroy target creature with flying. You gain 2 life.,Instant,{2}{G},3
Aerial Responder,"Flying, vigilance, lifelink",Creature — Dwarf Soldier,{1}{W}{W},3
Aerial Toastmaster,"Flying
{3}{W}, Sacrifice another artifact: Aerial Toastmaster assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",Artifact Creature — Cyborg Rigger,{3}{W},4
Aerial Volley,"Aerial Volley deals 3 damage divided as you choose among one, two, or three target creatures with flying.",Instant,{G},1
Aerie Bowmasters,"Reach (This creature can block creatures with flying.)
Megamorph {5}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)",Creature — Hound Archer,{2}{G}{G},4
Aerie Mystics,"Flying
{1}{G}{U}: Creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.)",Creature — Bird Wizard,{4}{W},5
Aerie Ouphes,"Sacrifice Aerie Ouphes: It deals damage equal to its power to target creature with flying.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",Creature — Ouphe,{4}{G},5
Aerie Worshippers,"Inspired — Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, create a 2/2 blue Bird enchantment creature token with flying.",Creature — Human Cleric,{3}{U},4
Aeromunculus,"Flying
{2}{G}{U}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)",Creature — Homunculus Mutant,{1}{G}{U},3
Aeronaut Admiral,"Flying
Vehicles you control have flying.",Creature — Human Pilot,{3}{W},4
Aeronaut Tinkerer,Aeronaut Tinkerer has flying as long as you control an artifact. (It can't be blocked except by creatures with flying or reach.),Creature — Human Artificer,{2}{U},3
